Data,Série,Valor
Jul 2008,M4,2017.769516
Aug 2008,M4,2054.588149
Sep 2008,M4,2082.000869
Oct 2008,M4,2087.059318
Nov 2008,M4,2127.012844
Dec 2008,M4,2165.026979
Jan 2009,M4,2167.907278
Feb 2009,M4,2185.998463
Mar 2009,M4,2201.970399
Apr 2009,M4,2224.228662
May 2009,M4,2254.370643
Jun 2009,M4,2261.608856
Jul 2009,M4,2321.899332
Aug 2009,M4,2355.008902
Sep 2009,M4,2391.092564
Oct 2009,M4,2427.046587
Nov 2009,M4,2458.33928
Dec 2009,M4,2497.47945
Jan 2010,M4,2605.840471
Feb 2010,M4,2623.278526
Mar 2010,M4,2659.498428
Apr 2010,M4,2670.103559
May 2010,M4,2707.324124
Jun 2010,M4,2741.751027
Jul 2010,M4,2777.583916
Aug 2010,M4,2824.549127
Sep 2010,M4,2872.131561
Oct 2010,M4,2943.842406
Nov 2010,M4,2973.395179
Dec 2010,M4,2976.783487
Jan 2011,M4,2999.789901
Feb 2011,M4,3075.998853
Mar 2011,M4,3096.759658
Apr 2011,M4,3133.705266
May 2011,M4,3166.562726
Jun 2011,M4,3188.121318
Jul 2011,M4,3236.156038
Aug 2011,M4,3267.212177
Sep 2011,M4,3300.817548
Oct 2011,M4,3332.368524
Nov 2011,M4,3344.917083
Dec 2011,M4,3420.779729
Jan 2012,M4,3467.874222
Feb 2012,M4,3501.666521
Mar 2012,M4,3560.241315
Apr 2012,M4,3572.707204
May 2012,M4,3625.970074
Jun 2012,M4,3643.522442
Jul 2012,M4,3678.24187
Aug 2012,M4,3737.939097
Sep 2012,M4,3757.56416
Oct 2012,M4,3806.703466
Nov 2012,M4,3833.305417
Dec 2012,M4,3860.09879
Jan 2013,M4,3876.730386
Feb 2013,M4,3905.533529
Mar 2013,M4,3937.286921
Apr 2013,M4,3977.938892
May 2013,M4,4039.567474
Jun 2013,M4,4076.016558
Jul 2013,M4,4092.715829
Aug 2013,M4,4126.641494
Sep 2013,M4,4161.521066
Oct 2013,M4,4201.617658
Nov 2013,M4,4234.749839
Dec 2013,M4,4267.350449
Jan 2014,M4,4302.958043
Feb 2014,M4,4308.697091
Mar 2014,M4,4323.341813
Apr 2014,M4,4353.875595
May 2014,M4,4391.423444
Jun 2014,M4,4428.178547
Jul 2014,M4,4489.161835
Aug 2014,M4,4570.29275
Sep 2014,M4,4641.249955
Oct 2014,M4,4677.624437
Nov 2014,M4,4718.034618
Dec 2014,M4,4774.925265
Jan 2015,M4,4777.616433
Feb 2015,M4,4793.695676
Mar 2015,M4,4836.693747
Apr 2015,M4,4850.532086
May 2015,M4,4908.824344
Jun 2015,M4,4951.069509
Jul 2015,M4,4989.008758
Aug 2015,M4,5022.9439
Sep 2015,M4,5087.63984
Oct 2015,M4,5114.530928
Nov 2015,M4,5163.315756
Dec 2015,M4,5312.283123
Jan 2016,M4,5291.76865
Feb 2016,M4,5331.795004
Mar 2016,M4,5389.752466
Apr 2016,M4,5419.60685
May 2016,M4,5453.699716
Jun 2016,M4,5492.324102
Jul 2016,M4,5548.744457
Aug 2016,M4,5607.068135
Sep 2016,M4,5652.149886
Oct 2016,M4,5681.511504
Nov 2016,M4,5743.86811
Dec 2016,M4,5831.877727
Jan 2017,M4,5842.419766
Feb 2017,M4,5861.693498
Mar 2017,M4,5936.525988
Apr 2017,M4,5925.396119
May 2017,M4,5947.255664
Jun 2017,M4,5978.559446
Jul 2017,M4,5978.280665
Aug 2017,M4,6054.119494
Sep 2017,M4,6092.331523
Oct 2017,M4,6146.692564
Nov 2017,M4,6167.287138
Dec 2017,M4,6226.509348
Jan 2018,M4,6206.921935
Feb 2018,M4,6226.46111
Mar 2018,M4,6285.84576
Apr 2018,M4,6301.712173
May 2018,M4,6393.646561
Jun 2018,M4,6476.692981
Jul 2018,M4,6473.910303
Aug 2018,M4,6588.892467
Sep 2018,M4,6642.73804
Oct 2018,M4,6629.067471
Nov 2018,M4,6639.977745
Dec 2018,M4,6760.860118
Jan 2019,M4,6701.921956
Feb 2019,M4,6709.137534
Mar 2019,M4,6786.532799
Apr 2019,M4,6802.015276
May 2019,M4,6851.178385
Jun 2019,M4,6884.678511
Jul 2019,M4,6915.631701
Aug 2019,M4,7022.46255
Sep 2019,M4,7092.243208
Oct 2019,M4,7090.277775
Nov 2019,M4,7159.55818
Dec 2019,M4,7256.443849
Jan 2020,M4,7195.871247
Feb 2020,M4,7215.768079
Mar 2020,M4,7333.256201
Apr 2020,M4,7472.991203
May 2020,M4,7627.555239
Jun 2020,M4,7832.931679
Jul 2020,M4,7957.422496
Aug 2020,M4,8097.711101
Sep 2020,M4,8229.714368
Oct 2020,M4,8276.106339
Nov 2020,M4,8330.070759
Dec 2020,M4,8472.54925
Dec 2001,M1,85.319761
Jan 2002,M1,76.291521
Feb 2002,M1,75.679717
Mar 2002,M1,74.996003
Apr 2002,M1,76.628516
May 2002,M1,75.674168
Jun 2002,M1,81.748036
Jul 2002,M1,85.044651
Aug 2002,M1,87.907547
Sep 2002,M1,90.734433
Oct 2002,M1,91.473169
Nov 2002,M1,94.597962
Dec 2002,M1,110.334243
Jan 2003,M1,94.977783
Feb 2003,M1,93.602937
Mar 2003,M1,89.822584
Apr 2003,M1,87.410599
May 2003,M1,86.231763
Jun 2003,M1,88.466315
Jul 2003,M1,87.050128
Aug 2003,M1,87.318737
Sep 2003,M1,88.450654
Oct 2003,M1,88.533279
Nov 2003,M1,95.230124
Dec 2003,M1,112.76587
Jan 2004,M1,101.206857
Feb 2004,M1,102.857652
Mar 2004,M1,101.282219
Apr 2004,M1,101.821601
May 2004,M1,103.074482
Jun 2004,M1,104.18265
Jul 2004,M1,104.856804
Aug 2004,M1,107.417168
Sep 2004,M1,111.720476
Oct 2004,M1,111.602434
Nov 2004,M1,115.14042
Dec 2004,M1,129.659697
Jan 2005,M1,120.494681
Feb 2005,M1,119.527456
Mar 2005,M1,118.560874
Apr 2005,M1,115.498041
May 2005,M1,117.556869
Jun 2005,M1,118.793487
Jul 2005,M1,118.562751
Aug 2005,M1,118.761803
Sep 2005,M1,123.969884
Oct 2005,M1,121.587677
Nov 2005,M1,128.417217
Dec 2005,M1,146.745131
Jan 2006,M1,131.864737
Feb 2006,M1,133.094132
Mar 2006,M1,130.778017
Apr 2006,M1,129.541055
May 2006,M1,132.963024
Jun 2006,M1,134.245964
Jul 2006,M1,135.77148
Aug 2006,M1,138.653095
Sep 2006,M1,145.599225
Oct 2006,M1,147.55134
Nov 2006,M1,154.440846
Dec 2006,M1,176.889613
Jan 2007,M1,158.186929
Feb 2007,M1,156.332282
Mar 2007,M1,158.398773
Apr 2007,M1,159.310973
May 2007,M1,160.825317
Jun 2007,M1,167.144535
Jul 2007,M1,169.869344
Aug 2007,M1,173.480653
Sep 2007,M1,178.379774
Oct 2007,M1,181.58085
