Balancete/Balanco Geral (Documentos: 4010 - 4016 - 4020 - 4026);;;;;;;;;;;;;
Data de geracao dos dados: 2021-03-01;;;;;;;;;;;;;
Fonte: Instituicoes financeiras;;;;;;;;;;;;;
#DATA_BASE;DOCUMENTO;CNPJ;AGENCIA;NOME_INSTITUICAO;COD_CONGL;NOME_CONGL;TAXONOMIA;CONTA;NOME_CONTA; SALDO ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;31900007;Operacoes De Risco Nivel H; R$25.862.091.594,47 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;39999993;TOTAL GERAL DO ATIVO; R$8.550.245.560.314,72 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;40000008;CIRCULANTE E EXIGIVEL A LONGO PRAZO; R$1.574.716.560.333,80 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41000007;DEPOSITOS; R$535.913.591.167,70 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41100000;Depositos A Vista; R$76.718.407.395,47 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41200003;Depositos De Poupanca; R$210.008.950.476,52 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41300006;Depositos Interfinanceiros; R$8.676.118.337,70 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41500002;Depositos A Prazo; R$231.669.726.577,16 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41600005;Obrigacoes Por Depositos Especiais E De Fundos E Programas; R$7.795.728.039,87 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41800001;Despositos Em Moedas Estrangeiras; R$653.886.957,46 ;;;
202009;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;41900004;Outros Depositos; R$390.773.383,52 ;;;
