Data;1848 - Recolhimentos obrigatórios de instituições financeiras - Depósitos de poupança em espécie (remunerados) - u.m.c. (mil);1849 - Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados) - u.m.c. (mil);1850 - Recolhimentos obrigatórios de instituições financeiras - Depósitos a prazo em espécie (remunerados) - u.m.c. (mil);17633 - Recolhimentos obrigatórios de instituições financeiras - Saldo total - u.m.c. (mil)
01/2014;118.344.653 ;67.781.882 ;79.268.394 ;389.308.287
02/2014;118.701.585 ;63.030.469 ;83.046.618 ;389.750.135
03/2014;119.659.290 ;75.011.630 ;85.005.508 ;405.780.106
04/2014;120.639.236 ;69.018.203 ;84.636.369 ;398.913.183
05/2014;121.157.498 ;62.602.655 ;86.765.070 ;395.724.678
06/2014;122.292.925 ;66.593.691 ;88.369.032 ;402.372.545
07/2014;124.218.796 ;67.056.857 ;91.618.162 ;409.730.859
08/2014;124.982.387 ;71.383.450 ;67.689.176 ;386.065.505
09/2014;126.208.155 ;73.838.715 ;55.573.568 ;371.259.659
10/2014;126.898.072 ;66.321.390 ;54.317.620 ;362.954.062
11/2014;120.575.632 ;70.357.116 ;49.269.375 ;357.016.028
12/2014;122.393.740 ;73.897.496 ;41.187.190 ;356.052.534
01/2015;123.399.983 ;69.053.687 ;41.807.346 ;353.264.783
02/2015;122.861.260 ;69.858.800 ;40.451.808 ;350.495.566
03/2015;120.986.665 ;69.611.820 ;44.275.728 ;350.960.637
04/2015;120.717.269 ;65.474.383 ;45.872.039 ;347.491.529
05/2015;120.423.632 ;72.549.365 ;49.624.175 ;357.516.314
06/2015;142.553.974 ;63.989.524 ;52.086.480 ;344.423.532
07/2015;140.466.942 ;56.126.083 ;59.293.905 ;343.766.449
08/2015;136.700.671 ;63.339.631 ;66.493.691 ;356.124.419
09/2015;134.522.741 ;59.054.581 ;97.698.831 ;382.010.112
10/2015;132.880.004 ;63.492.822 ;99.833.031 ;386.681.027
11/2015;130.648.724 ;63.975.642 ;103.313.999 ;389.305.300
12/2015;131.592.628 ;58.997.463 ;110.006.288 ;395.128.045
01/2016;130.751.139 ;61.235.516 ;112.331.755 ;399.386.485
02/2016;127.146.233 ;75.443.124 ;115.376.620 ;413.656.739
03/2016;125.860.799 ;65.006.689 ;113.529.494 ;398.675.631
04/2016;124.615.489 ;66.297.304 ;112.839.893 ;397.584.952
05/2016;122.724.097 ;63.559.081 ;121.061.696 ;404.258.586
06/2016;121.959.438 ;58.697.103 ;126.047.398 ;405.266.135
07/2016;121.427.596 ;64.730.531 ;126.373.400 ;412.633.627
08/2016;121.425.024 ;59.711.693 ;133.665.082 ;416.129.749
09/2016;122.189.678 ;64.370.771 ;137.129.428 ;426.252.176
10/2016;121.989.360 ;66.686.598 ;137.935.065 ;428.905.461
11/2016;122.693.185 ;62.181.615 ;140.970.219 ;428.435.756
12/2016;125.143.775 ;67.584.004 ;140.406.354 ;435.697.327
01/2017;126.719.420 ;78.641.242 ;146.115.383 ;455.943.312
02/2017;126.973.489 ;76.462.099 ;146.416.587 ;454.447.309
03/2017;127.139.316 ;62.464.721 ;149.547.787 ;445.333.297
04/2017;127.788.771 ;77.230.243 ;150.056.435 ;461.356.141
05/2017;128.153.561 ;55.125.117 ;228.096.264 ;446.247.146
06/2017;130.083.480 ;74.108.897 ;230.681.209 ;470.172.685
07/2017;161.240.738 ;68.112.449 ;232.294.604 ;461.647.792
08/2017;162.511.964 ;66.014.596 ;235.514.431 ;464.040.991
09/2017;164.332.558 ;72.349.860 ;235.567.748 ;472.250.166
10/2017;164.627.156 ;63.010.629 ;236.766.234 ;464.404.020
11/2017;165.377.287 ;69.406.447 ;232.721.822 ;467.505.556
12/2017;168.991.960 ;74.445.469 ;226.034.943 ;469.472.372
01/2018;172.598.511 ;71.811.521 ;219.471.583 ;463.881.615
02/2018;172.384.155 ;66.580.966 ;218.128.881 ;457.094.002
03/2018;173.933.090 ;76.830.049 ;217.514.210 ;468.277.349
04/2018;174.927.017 ;51.422.628 ;225.335.678 ;451.685.323
05/2018;148.511.784 ;45.179.697 ;225.456.006 ;419.147.487
06/2018;149.576.702 ;44.059.221 ;225.970.306 ;419.606.229
07/2018;151.581.708 ;48.309.204 ;232.160.913 ;432.051.825
08/2018;153.266.127 ;47.084.730 ;228.896.721 ;429.247.578
09/2018;155.245.034 ;43.727.833 ;236.243.599 ;435.216.466
10/2018;156.216.331 ;51.885.315 ;241.314.380 ;449.416.027
11/2018;156.356.830 ;40.401.023 ;241.217.158 ;437.975.011
12/2018;159.151.881 ;37.081.790 ;247.146.811 ;443.380.483
01/2019;159.481.159 ;37.603.129 ;246.858.703 ;443.942.991
02/2019;158.452.156 ;48.914.105 ;240.945.662 ;448.311.923
03/2019;159.082.708 ;50.066.624 ;242.514.435 ;451.663.766
04/2019;159.516.567 ;43.923.832 ;246.762.313 ;450.202.711
05/2019;159.808.899 ;44.125.009 ;248.074.322 ;452.008.230
06/2019;160.453.888 ;40.661.335 ;249.842.362 ;450.957.585
07/2019;161.266.461 ;35.121.453 ;232.327.437 ;428.715.351
08/2019;161.732.055 ;45.558.755 ;234.549.867 ;441.840.677
09/2019;163.774.214 ;37.234.960 ;237.358.237 ;438.367.411
10/2019;165.352.037 ;46.925.796 ;235.367.627 ;447.645.460
11/2019;165.215.367 ;42.193.667 ;239.340.874 ;446.749.907
12/2019;168.507.342 ;35.901.521 ;244.329.028 ;448.737.891
01/2020;169.308.693 ;60.514.219 ;245.741.209 ;475.564.121
02/2020;167.988.789 ;43.852.883 ;246.114.414 ;457.956.086
03/2020;168.079.581 ;48.024.227 ;138.774.942 ;354.878.750
04/2020;173.551.763 ;45.469.313 ;163.639.156 ;382.660.232
05/2020;178.994.851 ;52.938.386 ;176.950.705 ;408.883.942
06/2020;185.574.350 ;46.620.245 ;186.051.858 ;418.246.452
07/2020;173.204.149 ;77.954.434 ;191.484.777 ;442.643.360
08/2020;168.323.262 ;51.350.324 ;193.949.066 ;413.622.652
09/2020;156.546.371 ;54.428.890 ;196.876.532 ;407.851.792
10/2020;152.514.066 ;70.984.072 ;205.552.894 ;429.051.032
11/2020;150.273.434 ;57.667.613 ;207.653.501 ;415.594.547
12/2020;149.201.066 ;59.635.126 ;206.663.280 ;415.499.473
01/2021;148.778.901 ;68.631.447 ;208.679.662 ;426.090.011
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
